respid,comtype2,smuse_fb,smuse_yt,smuse_x,smuse_ig,smuse_sc,smuse_tt,smuse_rd,smuse_bsk,smuse_th,smuse_ts,relig,educcat,party,hisp,racethn,agecat,birthplace,gender,adults,inc_sdt1,cregion,metro
18133,3,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5,1,3,2,1,4,1,1,2,8,1,1
456,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,2,3,2,1,4,1,2,2,4,2,1
16837,3,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1,3,99,2,1,2,1,2,4,4,2,2
6610,3,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12,2,1,2,1,4,1,1,1,1,3,1
5636,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,4,2,2,4,3,2,2,2,3,1
3637,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,3,2,2,4,4,2,2,1,3,1
16193,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,12,1,1,2,1,4,4,1,2,5,4,1
9738,3,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1,2,1,2,1,3,1,2,2,6,1,1
7179,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2,1,2,1,1,1,6,4,1
2499,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2,1,2,1,1,1,1,3,5,3,1
8130,2,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2,1,1,2,1,3,1,2,2,8,3,1
4329,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,2,2,1,2,1,2,1,2,2,1
12611,1,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,12,1,1,2,1,3,1,2,1,4,3,1
80,2,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,12,3,3,2,1,1,1,2,1,1,2,1
18510,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5,3,2,2,1,4,4,2,3,99,3,1
1625,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,1,4,1,2,1,1,4,1
17184,2,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,4,99,99,99,1,2,99,99,3,1
2631,1,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,10,1,4,2,1,2,3,2,1,5,1,1
189,3,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,1,2,1,3,1,2,2,8,3,1
13929,2,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,12,1,1,2,1,2,1,1,2,5,1,1
9655,3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,99,1,3,3,4,2,2,99,4,1
2325,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4,1,3,2,2,3,4,1,3,4,3,1
648,3,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,3,2,2,2,2,3,2,2,2,3,1
14586,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2,1,2,1,2,2,6,2,1
2460,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,2,2,2,3,1,1,1,1,3,2
17975,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,4,2,1,2,4,2,1,7,4,1
13453,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,12,3,4,1,3,3,99,2,1,1,1,1
4014,99,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,1,4,1,2,1,4,1,1
5491,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,1,4,1,1,2,7,4,1
461,2,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2,1,2,1,3,2,4,1,2,8,3,1
5357,3,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,3,1,2,1,1,1,2,2,5,3,2
10833,2,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,1,2,1,4,1,1,1,1,3,1
9398,1,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,12,2,2,1,3,1,1,2,2,1,3,1
6180,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2,4,2,99,3,1,2,5,8,2,1
8956,1,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3,1,3,2,1,2,1,2,2,7,4,1
7205,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12,3,3,2,2,2,1,1,1,1,2,1
3866,1,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,1,2,4,2,4,1,2,4,2,1
5603,1,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,9,1,2,2,1,2,1,1,1,4,3,1
18661,3,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,3,2,1,2,1,2,3,5,3,2
1507,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,3,2,1,4,1,1,4,99,3,1
8775,99,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,4,1,2,2,8,4,1
8988,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,2,1,3,4,1,1,2,4,3,1
