RESPID,STRATUM,COMTYPE2,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RELIG,EDUCCAT,PARTY,HISP,RACECMB,RACETHN,AGECAT,BIRTHPLACE,GENDER,ADULTS,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
10846,10,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,3,2,1,1,4,1,2,2,7,3,1,1.604400946201048,1.3452014288620835
3654,10,1,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,10,1,4,2,1,1,2,1,1,2,8,3,1,0.802200473100524,0.7748556833167196
842,10,1,,,,,,,,,,,,12,99,2,2,1,1,99,1,2,1,99,2,1,0.401100236550262,0.306177560797471
9319,10,1,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,12,2,4,2,2,2,2,1,2,2,2,3,1,0.802200473100524,2.271284092318276
15433,10,2,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,3,2,1,1,2,1,2,3,8,4,1,1.2033007096507862,1.0473485981687036
3858,9,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,99,2,1,1,2,1,2,2,5,4,1,0.4509005960677219,0.8657645268379418
18456,10,3,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,2,1,2,1,1,2,1,2,3,5,2,2,1.2033007096507862,0.7246470434232881
10920,10,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,3,2,1,1,3,1,1,1,5,1,1,0.802200473100524,0.55809252169911
18780,10,2,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2,1,2,2,1,1,2,1,2,2,8,1,1,0.802200473100524,0.6073027616784477
7507,10,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,3,2,1,1,2,1,1,2,7,3,1,0.802200473100524,0.8888014218300136
18419,10,3,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,3,3,2,1,1,3,1,2,2,8,2,1,1.604400946201048,0.9313060359762616
13540,10,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,1,1,4,1,1,1,8,3,1,0.401100236550262,0.130449331744117
314,10,3,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,3,2,1,1,3,1,2,2,8,1,1,1.604400946201048,1.1638480460522498
1786,10,3,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,2,2,1,1,4,1,2,2,4,4,1,1.604400946201048,1.13188461766141
14800,10,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,3,1,2,2,2,4,4,1,2,1,3,1,1.604400946201048,2.7930698378922423
726,6,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11,2,1,2,1,1,4,1,1,3,5,4,1,1.1746962625712611,0.1824228128944101
5251,10,2,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99,1,99,2,1,1,2,1,2,2,99,4,1,0.802200473100524,0.2867312773439714
3783,10,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,8,1,2,2,3,5,3,1,2,2,8,1,1,1.604400946201048,0.972716655388312
10383,10,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,2,1,1,4,1,1,2,2,4,2,1.604400946201048,0.5682029075165441
9069,10,2,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,12,1,4,2,1,1,2,1,1,3,8,4,1,1.2033007096507862,0.4488356056616996
